objectId,createdAt,updatedAt,ACL,Make,Year,Model,Category
,,,,Toyota,2020,Matrix,Hatchback
,,,,Tesla,2020,Model Y,SUV
ZRgPP9dBMm,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Audi,2020,Q3,SUV
cptB1C1NSL,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Malibu,Sedan
ElhqsRZDnP,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Cadillac,2020,Escalade ESV,SUV
LUzyWMYJpW,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Corvette,"Coupe, Convertible"
rDkHakOBKP,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Acura,2020,RLX,Sedan
1JARpJ2AUB,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Silverado 2500 HD Crew Cab,Pickup
7G1VT2pSNO,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,BMW,2020,3 Series,Sedan
4q7L9FAU2S,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chrysler,2020,Pacifica,Van/Minivan
jpOC5zs3jx,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Chevrolet,2020,Colorado Crew Cab,Pickup
96llWfTOAe,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,BMW,2020,X3,SUV
5OEvsF1R9k,Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),Mon Jan 27 2020 15:44:17 GMT-0500 (Eastern Standard Time),null,Acura,2020,TLX,Sedan
